debuggroup conf 0.08s welcome to circos 0.56-pre4
debuggroup textplace 50.74s not_placed hs2 144420051 144806499 GTDC1
debuggroup textplace 50.74s not_placed hs2 144420052 144768530 GTDC1
debuggroup textplace 50.74s placed hs2 159533391 159797414 TANC1
debuggroup textplace 50.74s not_placed hs2 162936162 163403486 KCNH7
debuggroup textplace 50.74s not_placed hs2 162988004 163403486 KCNH7
debuggroup textplace 50.74s not_placed hs2 1771891 2314052 MYT1L
debuggroup textplace 50.74s placed hs2 239634800 239987580 HDAC4
debuggroup textplace 50.74s not_placed hs2 45732546 46268632 PRKCE
debuggroup textplace 50.74s placed hs2 50000991 50428398 NRXN1
debuggroup textplace 50.75s placed hs3 1109628 1420277 CNTN6
debuggroup textplace 50.75s placed hs3 117011839 117647068 LSAMP
debuggroup textplace 50.75s placed hs3 125296274 125721388 KALRN
debuggroup textplace 50.75s placed hs3 19165020 19552139 KCNH8
debuggroup textplace 50.75s placed hs3 2117246 3074644 CNTN4
debuggroup textplace 50.75s not_placed hs3 29297946 30007812 RBMS3
debuggroup textplace 50.76s not_placed hs3 61522284 62254737 PTPRG
debuggroup textplace 50.76s not_placed hs3 62359061 62836094 CADPS
debuggroup textplace 50.76s not_placed hs3 74394411 74653033 CNTN3
debuggroup textplace 50.76s not_placed hs3 77171983 77779351 ROBO2
debuggroup textplace 50.76s not_placed hs3 78729079 79151264 ROBO1
debuggroup textplace 50.76s not_placed hs4 102930786 103214992 BANK1
debuggroup textplace 50.76s not_placed hs4 102954005 103214992 BANK1
debuggroup textplace 50.76s placed hs4 40510995 40911245 APBB2
debuggroup textplace 50.76s placed hs4 43871029 44145581 KCTD8
debuggroup textplace 50.76s placed hs5 16715015 16989385 MYO10
debuggroup textplace 50.76s placed hs5 31834787 32146794 PDZD2
debuggroup textplace 50.76s placed hs5 65927931 66318107 MAST4
debuggroup textplace 50.77s placed hs5 66160359 66498848 MAST4
debuggroup textplace 50.77s not_placed hs5 82409072 82685333 XRCC4
debuggroup textplace 50.77s placed hs6 124166767 125188483 TCBA1
debuggroup textplace 50.77s placed hs6 129245978 129879401 LAMA2
debuggroup textplace 50.77s placed hs6 163068153 163656514 PACRG
debuggroup textplace 50.77s not_placed hs6 163068991 163656514 PACRG
debuggroup textplace 50.77s placed hs6 38244204 38671821 BTBD9
debuggroup textplace 50.78s placed hs6 51588103 52060382 PKHD1
debuggroup textplace 50.78s placed hs6 51693605 52060382 PKHD1
debuggroup textplace 50.78s placed hs6 73388555 73962300 KCNQ5
debuggroup textplace 50.78s placed hs7 119700957 120177623 KCND2
debuggroup textplace 50.78s placed hs7 18502409 18841796 HDAC9
debuggroup textplace 50.78s placed hs7 68702254 69895790 AUTS2
debuggroup textplace 50.79s placed hs7 8440109 8759117 NXPH1
debuggroup textplace 50.79s placed hs8 106400322 106885941 ZFPM2
debuggroup textplace 50.79s placed hs8 133210438 133562186 KCNQ3
debuggroup textplace 50.79s placed hs8 35521451 35771722 UNC5D
debuggroup textplace 50.79s placed hs8 52394689 52884558 PXDNL
debuggroup textplace 50.79s placed hs8 73612179 74013136 KCNB2
debuggroup textplace 50.80s placed hs8 87947791 88464071 CNBD1
debuggroup textplace 50.80s placed hs9 111442892 111753576 PALM2
debuggroup textplace 50.80s placed hs9 118227327 118489334 ASTN2
debuggroup textplace 50.80s placed hs10 34440103 35143929 PARD3
debuggroup textplace 50.80s placed hs10 52420950 53725280 PRKG1
debuggroup textplace 50.80s placed hs10 52504239 53725280 PRKG1
debuggroup textplace 50.81s placed hs11 108041025 108316856 DDX10
debuggroup textplace 50.81s placed hs11 13940489 14246222 SPON1
debuggroup textplace 50.81s placed hs11 1447268 1742077 HCCA2
debuggroup textplace 50.81s placed hs12 20413463 20725148 PDE3A
debuggroup textplace 50.81s placed hs14 66043877 66718276 GPHN
debuggroup textplace 50.81s placed hs14 88692268 88953207 FOXN3
debuggroup textplace 50.82s placed hs16 17103683 17472239 XYLT1
debuggroup textplace 50.82s placed hs16 69398789 69822070 HYDIN
debuggroup textplace 50.82s placed hs16 71374288 71639775 ATBF1
debuggroup textplace 50.82s placed hs18 58533713 58798645 PHLPP
debuggroup textplace 50.82s placed hs1 18306826 18577563 IGSF21
debuggroup textplace 50.82s placed hs1 21005562 21375927 EIF4G3
debuggroup textplace 50.83s placed hs1 213862858 214663361 USH2A
debuggroup textplace 50.83s placed hs1 48825046 49283906 AGBL4
debuggroup textplace 50.83s placed hs1 66030780 66612849 PDE4B
debuggroup textplace 50.83s placed hs1 66031443 66612849 PDE4B
debuggroup textplace 50.83s not_placed hs1 66230977 66612849 PDE4B
debuggroup textplace 50.83s placed hs1 71641213 72520865 NEGR1
debuggroup textplace 50.84s placed hs20 51022283 51537372 TSHZ2
debuggroup textplace 50.84s placed hs21 31412606 31853161 TIAM1
debuggroup textplace 50.84s placed hs22 31999062 32646410 LARGE
debuggroup textplace 50.84s placed hs2 152899996 153214592 FMNL2
debuggroup textplace 50.84s not_placed hs2 159883737 160181305 BAZ2B
debuggroup textplace 50.84s placed hs2 182715427 183095498 PDE1A
debuggroup textplace 50.84s placed hs2 182740905 183095710 PDE1A
debuggroup textplace 50.85s placed hs2 232534536 232910152 DIS3L2
debuggroup textplace 50.85s placed hs2 62786636 63127123 EHBP1
debuggroup textplace 50.85s placed hs2 936554 1350389 SNTG2
debuggroup textplace 50.85s placed hs2 99565691 100089022 P51826
debuggroup textplace 50.85s placed hs3 121028237 121295203 GSK3B
debuggroup textplace 50.85s not_placed hs3 135996949 136461995 EPHB1
debuggroup textplace 50.85s placed hs3 161956689 162271507 PPM1L
debuggroup textplace 50.86s not_placed hs3 174598937 175483810 NLGN1
debuggroup textplace 50.86s not_placed hs3 39826306 40276808 MYRIP
debuggroup textplace 50.86s placed hs3 71087426 71715830 FOXP1
debuggroup textplace 50.86s not_placed hs3 71329725 71715830 FOXP1
debuggroup textplace 50.86s placed hs3 89239363 89532185 EPHA3
debuggroup textplace 50.86s not_placed hs3 98016114 98950476 EPHA6
debuggroup textplace 50.86s not_placed hs4 115968379 116254481 NDST4
debuggroup textplace 50.86s placed hs4 169654791 170086182 PALLD
debuggroup textplace 50.86s placed hs4 65872240 66218104 EPHA5
debuggroup textplace 50.86s not_placed hs4 96308711 96689185 UNC5C
debuggroup textplace 50.87s placed hs5 57914695 58183162 RAB3C
debuggroup textplace 50.87s placed hs5 58300622 58918081 PDE4D
debuggroup textplace 50.87s placed hs5 72957738 73243284 RGNEF
debuggroup textplace 50.87s placed hs5 81303629 81586524 ATG10
debuggroup textplace 50.87s placed hs6 101063329 101435945 ASCC3
debuggroup textplace 50.87s placed hs6 136214526 136558401 PDE7B
debuggroup textplace 50.88s placed hs6 161689663 163068790 PARK2
debuggroup textplace 50.88s placed hs6 90692968 91063182 BACH2
debuggroup textplace 50.88s placed hs7 113842287 114118328 FOXP2
debuggroup textplace 50.88s not_placed hs7 31795772 32077516 PDE1C
debuggroup textplace 50.88s not_placed hs7 33135676 33612205 PTHB1
debuggroup textplace 50.88s placed hs8 116489899 116750402 TRPS1
debuggroup textplace 50.88s placed hs8 121619226 121893910 SNTB1
debuggroup textplace 50.88s placed hs8 131133534 131483399 DDEF1
debuggroup textplace 50.89s placed hs8 50987149 51867980 SNTG1
debuggroup textplace 50.89s placed hs9 20334967 20612450 P42568
debuggroup textplace 50.89s placed hs10 131155455 131455356 MGMT
debuggroup textplace 50.89s placed hs12 109956211 110272739 CUTL2
debuggroup textplace 50.89s placed hs12 37332268 37585687 CPNE8
debuggroup textplace 50.89s placed hs13 99056936 99342824 CLYBL
debuggroup textplace 50.90s placed hs14 32478209 33340702 NPAS3
debuggroup textplace 50.90s placed hs14 32478273 33340065 NPAS3
debuggroup textplace 50.90s placed hs14 63389435 63762918 SYNE2
debuggroup textplace 50.90s placed hs16 81218078 82387698 CDH13
debuggroup textplace 50.90s placed hs17 43565800 43862593 SKAP1
debuggroup textplace 50.91s placed hs17 56109953 56824981 BCAS3
debuggroup textplace 50.91s placed hs18 22749613 23019279 CHST9
debuggroup textplace 50.91s placed hs18 55252128 55515570 CCBE1
debuggroup textplace 50.91s placed hs1 113734997 114030068 MAGI3
debuggroup textplace 50.91s placed hs20 17155630 17413220 PCSK2
debuggroup textplace 50.91s placed hs21 37918656 38210566 KCNJ6
debuggroup textplace 50.92s placed hs2 114916368 116318406 DPP10
debuggroup textplace 50.92s placed hs2 115636201 116318406 DPP10
debuggroup textplace 50.92s not_placed hs2 188865634 189168895 GULP1
debuggroup textplace 50.92s placed hs2 211948686 213111597 ERBB4
debuggroup textplace 50.92s placed hs2 33025895 33478077 LTBP1
debuggroup textplace 50.92s placed hs2 33213180 33478077 LTBP1
debuggroup textplace 50.92s placed hs3 132736273 133236534 CPNE4
debuggroup textplace 50.93s not_placed hs3 137538688 137953935 STAG1
debuggroup textplace 50.93s placed hs3 55517375 56477431 CAST1
debuggroup textplace 50.93s placed hs3 65314946 65999549 MAGI1
debuggroup textplace 50.93s placed hs3 65319985 65999549 MAGI1
debuggroup textplace 50.93s placed hs4 62045433 62620762 LPHN3
debuggroup textplace 50.93s placed hs5 106744249 107034495 EFNA5
debuggroup textplace 50.94s placed hs5 19508913 20017046 CDH18
debuggroup textplace 50.94s placed hs5 21786910 22889488 CDH12
debuggroup textplace 50.94s not_placed hs5 77333906 77626284 AP3B1
debuggroup textplace 50.94s placed hs7 101246011 101713969 CUTL1
debuggroup textplace 50.94s placed hs7 101246022 101713969 CUTL1
debuggroup textplace 50.94s placed hs7 101247601 101680064 CUTL1
debuggroup textplace 50.94s not_placed hs7 28305464 28832034 CREB5
debuggroup textplace 50.94s not_placed hs7 28418668 28832034 CREB5
debuggroup textplace 50.94s not_placed hs7 28441758 28832034 CREB5
debuggroup textplace 50.94s placed hs7 70885850 71439896 CALN1
debuggroup textplace 50.95s placed hs7 77484309 78920826 MAGI2
debuggroup textplace 50.95s placed hs7 90176647 90677840 PFTK1
debuggroup textplace 50.95s placed hs9 77695440 77998155 PCSK5
debuggroup textplace 50.95s placed hs10 100208866 100985609 HPSE2
debuggroup textplace 50.95s placed hs11 24475131 25060758 LUZP2
debuggroup textplace 50.95s placed hs13 69172726 69580460 KLHL1
debuggroup textplace 50.96s placed hs14 41147093 41443498 LRFN5
debuggroup textplace 50.96s placed hs14 75197373 75491174 TTLL5
debuggroup textplace 50.96s placed hs15 54998124 55368004 TCF12
debuggroup textplace 50.96s placed hs1 61980736 62402177 INADL
debuggroup textplace 50.96s placed hs1 69998445 70361757 LRRC7
debuggroup textplace 50.96s placed hs20 8061295 8813545 PLCB1
debuggroup textplace 50.97s placed hs20 9024931 9409460 PLCB4
debuggroup textplace 50.97s not_placed hs2 140705465 142605740 LRP1B
debuggroup textplace 50.97s not_placed hs2 168518776 168812351 STK39
debuggroup textplace 50.97s not_placed hs3 159310585 159745268 RSRC1
debuggroup textplace 50.97s not_placed hs3 190831909 191097756 TP73L
debuggroup textplace 50.97s not_placed hs4 149219369 149582973 NR3C2
debuggroup textplace 50.97s placed hs4 53433908 53926999 SCFD2
debuggroup textplace 50.97s placed hs4 79198119 79684447 FRAS1
debuggroup textplace 50.97s placed hs5 15553304 15992900 FBXL7
debuggroup textplace 50.97s placed hs5 53216370 53642160 ARL15
debuggroup textplace 50.98s placed hs5 80751428 81082828 SSBP2
debuggroup textplace 50.98s placed hs5 89890372 90495788 GPR98
debuggroup textplace 50.98s placed hs6 107580455 107887448 PDSS2
debuggroup textplace 50.98s placed hs6 5206582 5716815 FARS2
debuggroup textplace 50.98s placed hs10 114196745 114568491 VTI1A
debuggroup textplace 50.99s placed hs10 87349291 88116230 GRID1
debuggroup textplace 50.99s placed hs10 95743735 96078136 PLCE1
debuggroup textplace 50.99s placed hs11 20647711 21553576 NELL1
debuggroup textplace 50.99s placed hs12 32151451 32422407 BICD1
debuggroup textplace 50.99s placed hs12 43188331 43556405 NELL2
debuggroup textplace 50.99s placed hs18 52469613 52848034 WDR7
debuggroup textplace 50.99s placed hs2 61268094 61551353 USP34
debuggroup textplace 51.00s placed hs4 93444830 94912671 GRID2
debuggroup textplace 51.00s placed hs6 72653370 73169228 RIMS1
debuggroup textplace 51.00s placed hs7 27836720 28186962 JAZF1
debuggroup textplace 51.00s placed hs8 104582151 105334627 RIMS2
debuggroup textplace 51.00s placed hs8 104900591 105334627 RIMS2
debuggroup textplace 51.01s placed hs10 311431 725606 DIP2C
debuggroup textplace 51.01s placed hs10 59942909 60258851 BICC1
debuggroup textplace 51.01s placed hs11 104986009 105289441 GRIA4
debuggroup textplace 51.01s placed hs11 104986844 105358029 GRIA4
debuggroup textplace 51.01s placed hs11 120036237 120362179 GRIK4
debuggroup textplace 51.01s placed hs12 26379553 26877398 ITPR2
debuggroup textplace 51.02s placed hs12 65029065 65359020 GRIP1
debuggroup textplace 51.02s placed hs13 38815029 39075356 LHFP
debuggroup textplace 51.02s placed hs13 73158150 73606067 KLF12
debuggroup textplace 51.02s placed hs18 30327278 30663292 DTNA
debuggroup textplace 51.02s placed hs1 170077260 170648479 DNM3
debuggroup textplace 51.02s placed hs1 97315887 98159203 DPYD
debuggroup textplace 51.02s placed hs21 29831126 30234153 GRIK1
debuggroup textplace 51.03s placed hs21 29847736 30234153 GRIK1
debuggroup textplace 51.03s not_placed hs2 169021080 169339398 LASS6
debuggroup textplace 51.03s placed hs2 25453615 25750007 DTNB
debuggroup textplace 51.03s placed hs2 32435599 32697469 BIRC6
debuggroup textplace 51.03s placed hs3 193342423 193608706 FGF12
debuggroup textplace 51.03s not_placed hs3 24134709 24511317 THRB
debuggroup textplace 51.03s not_placed hs3 37468816 37836283 ITGA9
debuggroup textplace 51.03s not_placed hs3 4510033 4864286 ITPR1
debuggroup textplace 51.03s placed hs4 162524500 163304636 FSTL5
debuggroup textplace 51.04s placed hs5 132560050 132976122 FSTL4
debuggroup textplace 51.04s placed hs5 152850498 153171354 GRIA1
debuggroup textplace 51.04s placed hs6 101953674 102623474 GRIK2
debuggroup textplace 51.04s placed hs6 123579181 123999641 TRDN
debuggroup textplace 51.04s not_placed hs6 1569040 2190845 GMDS
debuggroup textplace 51.04s placed hs7 14153769 14847413 DGKB
debuggroup textplace 51.04s not_placed hs7 14182141 14847413 DGKB
debuggroup textplace 51.05s placed hs9 102830851 103127237 PRG-3
debuggroup textplace 51.05s placed hs9 74326536 74641087 TMC1
debuggroup textplace 51.05s placed hs9 79525019 79836012 GNAQ
debuggroup textplace 51.05s placed hs9 96528814 96889261 C9orf3
debuggroup textplace 51.05s placed hs10 16905970 17211822 CUBN
debuggroup textplace 51.05s placed hs11 87880625 88420838 GRM5
debuggroup textplace 51.06s placed hs13 108046500 108658356 MYR8
debuggroup textplace 51.06s placed hs15 97010283 97325281 IGF1R
debuggroup textplace 51.06s placed hs16 45746798 46052516 ITFG1
debuggroup textplace 51.06s placed hs1 175096826 175400647 ASTN
debuggroup textplace 51.06s placed hs1 175104576 175400647 ASTN
debuggroup textplace 51.06s placed hs1 208568919 208916261 HHAT
debuggroup textplace 51.07s placed hs2 209997015 210307079 MAP2
debuggroup textplace 51.07s not_placed hs3 6877926 7758217 GRM7
debuggroup textplace 51.07s placed hs6 144654565 145215861 UTRN
debuggroup textplace 51.07s placed hs6 146392111 146800427 GRM1
debuggroup textplace 51.07s placed hs7 125865892 126670546 GRM8
debuggroup textplace 51.07s placed hs8 9949235 10323803 MSRA
debuggroup textplace 51.07s placed hs10 50696332 51041337 PARG
debuggroup textplace 51.08s placed hs13 34414455 35144872 NBEA
debuggroup textplace 51.08s placed hs13 42685703 43139655 PIG38
debuggroup textplace 51.08s placed hs13 99539337 99980687 PCCA
debuggroup textplace 51.08s placed hs15 30853636 31147377 FMN1
debuggroup textplace 51.08s placed hs18 65219270 65660359 DOK6
debuggroup textplace 51.08s not_placed hs1 238321603 238705106 FMN2
debuggroup textplace 51.08s placed hs1 241718157 242073176 AKT3
debuggroup textplace 51.09s not_placed hs1 241733106 242073176 AKT3
debuggroup textplace 51.09s placed hs2 229930589 230287530 DNER
debuggroup textplace 51.09s placed hs3 101034678 101316039 DOC1
debuggroup textplace 51.09s not_placed hs3 11289101 11571556 ATG7
debuggroup textplace 51.09s placed hs4 114190318 114524334 ANK2
debuggroup textplace 51.09s placed hs5 155686344 156117646 SGCD
debuggroup textplace 51.09s not_placed hs5 83273881 83716367 EDIL3
debuggroup textplace 51.09s placed hs7 143779975 144164079 TPK1
debuggroup textplace 51.09s placed hs8 10791066 11096285 XKR6
debuggroup textplace 51.10s placed hs8 56177570 56601262 XKR4
debuggroup textplace 51.10s placed hs8 97726674 98224897 PGCP
debuggroup textplace 51.10s placed hs10 83625076 84735340 NRG3
debuggroup textplace 51.10s placed hs11 19691487 20099722 NAV2
debuggroup textplace 51.10s placed hs12 76749199 77130921 NAV3
debuggroup textplace 51.10s placed hs15 25673615 26018053 OCA2
debuggroup textplace 51.11s placed hs15 71131927 71382835 NEO1
debuggroup textplace 51.11s placed hs16 51646445 51918914 CHD9
debuggroup textplace 51.11s placed hs16 60244735 60627537 CDH8
debuggroup textplace 51.11s placed hs1 178867795 179122102 XPR1
debuggroup textplace 51.11s placed hs1 57236166 58488799 DAB1
debuggroup textplace 51.11s not_placed hs1 64012277 64381640 ROR1
debuggroup textplace 51.11s placed hs20 59260953 59945694 CDH4
debuggroup textplace 51.12s placed hs20 9466036 9767522 PAK7
debuggroup textplace 51.12s placed hs2 133145841 134042501 NAP5
debuggroup textplace 51.12s not_placed hs4 151405045 152156329 LRBA
debuggroup textplace 51.12s placed hs4 183482130 183961171 ODZ3
debuggroup textplace 51.12s not_placed hs4 19864332 20229886 SLIT2
debuggroup textplace 51.12s placed hs5 167114518 167623740 ODZ2
debuggroup textplace 51.12s placed hs5 168025859 168660554 SLIT3
debuggroup textplace 51.13s placed hs5 45295109 45731977 HCN1
debuggroup textplace 51.13s not_placed hs7 106630226 106991721 COG5
debuggroup textplace 51.13s placed hs7 153215351 154316927 DPP6
debuggroup textplace 51.13s placed hs7 153380709 154316927 DPP6
debuggroup textplace 51.13s placed hs7 153633279 154316927 DPP6
debuggroup textplace 51.13s not_placed hs7 29200645 29520468 CHN2
debuggroup textplace 51.13s placed hs7 47281276 47545724 TNS3
debuggroup textplace 51.13s placed hs7 51051403 51351990 COBL
debuggroup textplace 51.14s not_placed hs7 82225377 82630133 PCLO
debuggroup textplace 51.14s not_placed hs7 82287731 82630133 PCLO
debuggroup textplace 51.14s placed hs8 141737682 142080514 PTK2
debuggroup textplace 51.14s placed hs8 31616809 32720310 NRG1
debuggroup textplace 51.14s placed hs9 16399501 16860786 BNC2
debuggroup textplace 51.14s not_placed hs9 3814127 4142183 GLIS3
debuggroup textplace 51.14s placed hs10 21114604 21503122 NEBL
debuggroup textplace 51.14s placed hs11 15948370 16380968 SOX6
debuggroup textplace 51.14s placed hs11 82843700 84312113 DLG2
debuggroup textplace 51.15s placed hs11 91724909 92269283 FAT3
debuggroup textplace 51.15s placed hs12 10924826 11215477 PRH1
debuggroup textplace 51.15s placed hs12 116375221 116777724 KSR2
debuggroup textplace 51.15s placed hs13 90848887 92317486 GPC5
debuggroup textplace 51.15s placed hs13 92677095 93853948 GPC6
debuggroup textplace 51.15s placed hs14 64947592 65279714 FUT8
debuggroup textplace 51.16s placed hs14 64949287 65279714 FUT8
debuggroup textplace 51.16s placed hs15 31390468 31945595 RYR3
debuggroup textplace 51.16s placed hs16 80036394 80302866 CMIP
debuggroup textplace 51.16s placed hs17 9094513 9420000 STX8
debuggroup textplace 51.16s placed hs17 9754650 10042593 GAS7
debuggroup textplace 51.16s placed hs18 29685061 30057444 NOL4
debuggroup textplace 51.17s placed hs18 51040559 51406858 TCF4
debuggroup textplace 51.17s placed hs1 162795560 163082933 PBX1
debuggroup textplace 51.17s not_placed hs1 235272324 236063911 RYR2
debuggroup textplace 51.17s not_placed hs1 240318894 240754621 PLD5
debuggroup textplace 51.17s placed hs20 44956915 45250897 EYA2
debuggroup textplace 51.17s placed hs22 31238539 31732683 SYN3
debuggroup textplace 51.17s placed hs3 172264365 172660546 TNIK
debuggroup textplace 51.17s not_placed hs3 41263093 41978664 ULK4
debuggroup textplace 51.17s not_placed hs3 81621540 81893640 GBE1
debuggroup textplace 51.18s placed hs4 16112261 16509425 LDB2
debuggroup textplace 51.18s placed hs4 48194136 48477073 FRYL
debuggroup textplace 51.18s placed hs5 127621500 127901634 FBN2
debuggroup textplace 51.18s placed hs5 14196828 14562450 TRIO
debuggroup textplace 51.18s placed hs6 133604187 133894358 EYA4
debuggroup textplace 51.18s placed hs7 102899472 103417198 RELN
debuggroup textplace 51.18s not_placed hs7 127079437 127519894 SND1
debuggroup textplace 51.19s placed hs7 136724925 137182149 DGKI
debuggroup textplace 51.19s placed hs7 151462944 151764023 MLL3
debuggroup textplace 51.19s placed hs7 3307605 4275155 SDK1
debuggroup textplace 51.19s placed hs8 118880782 119193239 EXT1
debuggroup textplace 51.19s placed hs8 13116454 13416766 DLC1
debuggroup textplace 51.19s placed hs8 13991744 15140163 SGCZ
debuggroup textplace 51.19s placed hs8 18429092 18710685 PSD3
debuggroup textplace 51.20s placed hs8 68496961 68821134 CPA6
debuggroup textplace 51.20s placed hs8 99536037 99907085 STK3
debuggroup textplace 51.20s placed hs9 116943917 117204744 DEC1
debuggroup textplace 51.20s placed hs14 71469585 72100407 RGS6
debuggroup textplace 51.20s placed hs17 24977090 25281144 SSH2
debuggroup textplace 51.20s placed hs17 47062672 47591131 CA10
debuggroup textplace 51.21s placed hs1 181871830 182164288 RGL1
debuggroup textplace 51.21s not_placed hs1 239005439 239587101 RGS7
debuggroup textplace 51.21s placed hs2 99530149 100088477 AFF3
debuggroup textplace 51.21s placed hs6 122834760 123089216 PKIB
debuggroup textplace 51.21s placed hs8 140811769 141537860 NIBP
debuggroup textplace 51.21s placed hs8 19305952 19584374 ChGn
debuggroup textplace 51.21s placed hs9 3214648 3515983 RFX3
debuggroup textplace 51.22s not_placed hs9 3237036 3515983 RFX3
debuggroup textplace 51.22s placed hs11 31487872 31761903 ELP4
debuggroup textplace 51.22s placed hs11 9756905 10272312 SBF2
debuggroup textplace 51.22s placed hs17 52688929 53112298 MSI2
debuggroup textplace 51.22s placed hs17 52689372 53065542 MSI2
debuggroup textplace 51.22s placed hs18 44824171 45241077 DYM
debuggroup textplace 51.23s placed hs1 50679522 51198524 FAF1
debuggroup textplace 51.23s placed hs1 61320882 61694617 NFIA
debuggroup textplace 51.23s placed hs2 29269145 29997936 ALK
debuggroup textplace 51.23s placed hs3 59710077 61212164 FHIT
debuggroup textplace 51.23s placed hs5 129268421 129550225 CSS3
debuggroup textplace 51.23s placed hs6 143423715 143703132 AIG1
debuggroup textplace 51.23s placed hs6 152170378 152466099 ESR1
debuggroup textplace 51.24s placed hs8 53185951 53484856 ST18
debuggroup textplace 51.24s placed hs10 75580970 76139065 ADK
debuggroup textplace 51.24s placed hs10 75606449 76139065 ADK
debuggroup textplace 51.24s not_placed hs5 112385694 112658511 MCC
debuggroup textplace 51.24s placed hs6 69402352 70156124 BAI3
debuggroup textplace 51.24s placed hs8 59880530 60194321 TOX
debuggroup textplace 51.24s placed hs11 130745580 131711925 HNT
debuggroup textplace 51.25s placed hs11 131285921 131711925 HNT
debuggroup textplace 51.25s placed hs18 38577189 38949655 RIT2
debuggroup textplace 51.25s placed hs1 92746841 93030549 EVI5
debuggroup textplace 51.25s not_placed hs2 179098965 179380395 TTN
debuggroup textplace 51.25s not_placed hs3 189413414 190080135 LPP
debuggroup textplace 51.25s placed hs6 39411908 39801159 KIF6
debuggroup textplace 51.25s placed hs18 48120568 49311780 DCC
debuggroup textplace 51.25s placed hs21 26174732 26465003 APP
debuggroup textplace 51.26s placed hs2 15224482 15618905 NAG
debuggroup textplace 51.26s placed hs3 108724479 109007395 BBX
debuggroup textplace 51.26s placed hs5 42459782 42757682 GHR
debuggroup textplace 51.26s placed hs7 41967074 42243137 GLI3
debuggroup textplace 51.26s placed hs16 52295375 52705882 FTO
debuggroup textplace 51.26s not_placed hs1 77520329 77798240 AK5
debuggroup textplace 51.26s not_placed hs1 77520874 77798240 AK5
debuggroup textplace 51.26s not_placed hs2 27966985 28415269 BRE
debuggroup textplace 51.26s not_placed hs2 27967060 28415269 BRE
debuggroup textplace 51.26s placed hs5 138310310 138561964 SIL1
debuggroup textplace 51.27s placed hs6 149110156 149439818 UST
debuggroup textplace 51.27s placed hs13 31503436 31768775 FRY
debuggroup textplace 51.27s placed hs5 158058005 158459347 EBF
debuggroup textplace 51.27s placed hs16 6009132 7700847 A21
debuggroup textplace 51.27s placed hs16 7322751 7702499 A21
debuggroup textplace 51.27s placed hs17 26446120 26728820 NF1
debuggroup textplace 51.28s placed hs5 108111421 108551272 FER
debuggroup textplace 51.28s placed hs7 116380616 116651191 ST7
debuggroup textplace 51.28s placed hs8 133948386 134216323 TG
debuggroup summary,output 51.28s generating output
debuggroup summary,output 52.27s created PNG image ./circos.png (1946 kb)
debuggroup summary,output 52.27s created SVG image ./circos.svg (876 kb)
debuggroup timer 52.27s report circos 52.195 s
debuggroup timer 52.27s report colorcache 0.005 s
debuggroup timer 52.27s report colordefinitions 0.154 s
debuggroup timer 52.27s report colorlists 0.011 s
debuggroup timer 52.27s report colorlookups 0.005 s
debuggroup timer 52.27s report colortransparency 0.554 s
debuggroup timer 52.27s report datarules 0.336 s
debuggroup timer 52.27s report highlights 0.000 s
debuggroup timer 52.27s report ideograms_draw 1.822 s
debuggroup timer 52.27s report ideograms_processing 0.021 s
debuggroup timer 52.27s report ideograms_ticks_draw 1.489 s
debuggroup timer 52.27s report ideograms_zoom 0.070 s
debuggroup timer 52.27s report io 0.099 s
debuggroup timer 52.27s report karyotype 0.256 s
debuggroup timer 52.27s report parameter_seek 1.741 s
debuggroup timer 52.27s report track_preprocess 0.001 s
debuggroup timer 52.27s report track_text_ashift 37.652 s
debuggroup timer 52.27s report track_text_ashiftiter 18.985 s
debuggroup timer 52.27s report track_text_draw 1.051 s
debuggroup timer 52.27s report track_text_place 46.025 s
debuggroup timer 52.27s report track_text_preashift 7.063 s
debuggroup timer 52.27s report track_text_preprocess 0.548 s
debuggroup timer 52.27s report track_text_refine 0.004 s
debuggroup timer 52.27s report unitconvert 0.021 s
debuggroup timer 52.27s report unitconvert_decision 0.002 s
debuggroup timer 52.27s report unitconvert_delegate 0.007 s
debuggroup timer 52.27s report unitparse 0.030 s
